geo_id,geo_name,geo_type,sample_size,vulnerability_rate,median_gap,coverage_pct
06073000100,06073000100,tract,1180,24.152542372881356,-111673.61499999999,206.224431650515
06073000201,06073000201,tract,1180,30.677966101694913,-46576.850000000006,160.5948691555081
06073000202,06073000202,tract,2238,26.85433422698838,-44628.33,164.94061954582602
06073000301,06073000301,tract,1303,40.29163468917882,-19015.269999999997,127.55564854720005
06073000302,06073000302,tract,1816,35.24229074889868,-24272.86,140.17581565206925
06073000400,06073000400,tract,2588,23.338485316846985,-35816.9,153.86743249156302
06073000500,06073000500,tract,1604,24.12718204488778,-44042.27,167.4576916049214
06073000600,06073000600,tract,2047,27.454811919882754,-36484.58,155.08207662504304
06073000700,06073000700,tract,2625,35.923809523809524,-28847.149999999994,140.1296848008412
06073000800,06073000800,tract,2967,37.47893495112909,-23073.679999999993,135.47277569431364
06073000901,06073000901,tract,2062,31.95926285160039,-32562.03,147.71851117711316
06073000902,06073000902,tract,1538,40.11703511053316,-22614.760000000002,134.8556938504461
06073001000,06073001000,tract,2724,31.05726872246696,-23896.5,138.91468342652814
06073001100,06073001100,tract,1746,34.306987399770904,-25099.28,140.14649269340268
06073001201,06073001201,tract,1346,41.97622585438336,-10780.43,118.51088472847331
06073001202,06073001202,tract,1775,33.01408450704225,-32733.270000000004,148.4138968122373
06073001301,06073001301,tract,1592,25.816582914572866,-32100.284999999996,148.73966454451016
06073001302,06073001302,tract,2164,32.71719038817005,-20360.520000000004,134.2220080817681
06073001400,06073001400,tract,1873,30.32568072610785,-33753.850000000006,152.36421938454595
06073001500,06073001500,tract,2028,32.544378698224854,-31280.020000000004,144.52881276756335
06073001600,06073001600,tract,2348,58.94378194207837,11826.839999999997,83.49471768094955
06073001700,06073001700,tract,2510,41.155378486055774,-13800.64,120.59457159048561
06073001801,06073001801,tract,989,46.61274014155713,-6401.9100000000035,107.95059061037719
06073001802,06073001802,tract,1918,35.45359749739312,-18054.629999999997,129.99937752190397
06073001900,06073001900,tract,1556,30.97686375321337,-49173.7,165.68458593566172
06073002001,06073002001,tract,1545,23.36569579288026,-82302.66,195.7647113308959
06073002002,06073002002,tract,1158,20.72538860103627,-93357.01,209.35904678230145
06073002100,06073002100,tract,2593,35.05591978403394,-14932.080000000002,121.724702468831
06073002201,06073002201,tract,1436,66.43454038997214,22703.699999999997,63.09760727578136
06073002202,06073002202,tract,1601,65.83385384134915,23839.519999999997,67.38607491204814
06073002301,06073002301,tract,1508,46.94960212201592,-4010.6699999999983,105.3025140716936
06073002302,06073002302,tract,2037,66.81394207167402,27371.190000000002,60.98322691264968
06073002401,06073002401,tract,1689,43.99052693901717,-6424.350000000006,108.29640803243142
06073002402,06073002402,tract,1735,64.78386167146975,19224.53,72.06479525618565
06073002501,06073002501,tract,1439,53.787352328005554,5654.020000000004,91.89986693779854
06073002502,06073002502,tract,2393,43.7944003343084,-7897.389999999999,109.96596444811134
06073002601,06073002601,tract,1611,67.10117939168218,26220.58,71.68992770450163
06073002602,06073002602,tract,1406,61.664295874822194,17101.655,77.65578120592373
06073002702,06073002702,tract,2020,48.118811881188115,-1441.1100000000006,101.99622752861943
06073002703,06073002703,tract,2336,52.56849315068494,5859.125,94.58225382920428
06073002705,06073002705,tract,1523,52.33092580433355,4113.580000000002,93.64214037663575
06073002707,06073002707,tract,1616,68.31683168316832,32716.350000000006,61.614545377583454
06073002708,06073002708,tract,1972,74.69574036511156,31901.190000000002,52.30159564945199
06073002709,06073002709,tract,1192,67.4496644295302,29753.010000000002,63.33138304500346
06073002710,06073002710,tract,1110,66.03603603603604,22498.829999999994,74.67537990118595
06073002711,06073002711,tract,1039,58.32531280076997,11595.990000000005,86.36430587269719
06073002712,06073002712,tract,1766,65.68516421291054,27185.11,64.49642334105157
06073002801,06073002801,tract,515,43.883495145631066,-24071.11,125.83927095494613
06073002803,06073002803,tract,2576,37.81055900621118,-16570.9,124.17545760777138
06073002804,06073002804,tract,1610,55.15527950310559,11744.86,85.65058497896939
06073002902,06073002902,tract,2659,45.91951861602106,-5895.1600000000035,105.1938933871122
